Market,err_2025 Q3,err_2025 Q4,err_2026 Q1,MAE,MeanError,Variable
New York - NY,-0.005229051281620212,-0.006672842088155884,-0.008446336233260077,0.006782743201012058,-0.006782743201012058,Supply
Norfolk - VA,0.0021155386793134667,-0.005350085132264759,-0.0040059210687597435,0.0038238482934459896,-0.0024134891739036788,Supply
Northern New Jersey - NJ,-0.004253404960343987,-0.0094618505366586,-0.015164691431787336,0.009626648976263308,-0.009626648976263308,Supply
Northwest Arkansas - AR,-0.02424922698857701,-0.02729485582369784,-0.028783492403077204,0.026775858405117352,-0.026775858405117352,Supply
Ocala - FL,-8.507018290082602e-05,-0.019366867084325667,-0.014347726293172824,0.011266554520133107,-0.011266554520133107,Supply
Ogden - UT,-0.017584837659648134,-0.011616426567137905,-0.015833216243239967,0.015011493490008668,-0.015011493490008668,Supply
Oklahoma City - OK,0.000565023704916845,-0.002082864381527827,-0.004364999533242875,0.0023376292065625157,-0.0019609467366179523,Supply
Omaha - NE,-0.010062662871860084,-0.008946532811081154,-0.006967037869432646,0.008658744517457961,-0.008658744517457961,Supply
Orange County - CA,0.0025556504277435277,0.0027635335921807336,0.0027116625899679114,0.0026769488699640576,0.0026769488699640576,Supply
Orlando - FL,-0.005008153580348118,-0.003531109211184713,-0.004724670165805689,0.004421310985779507,-0.004421310985779507,Supply
Palm Beach - FL,0.008773153615121876,0.007406512438840274,0.00962965486481493,0.008603106972925692,0.008603106972925692,Supply
Pensacola - FL,-0.017534312844889155,-0.014136886450004216,-0.02455778435218825,0.018742994549027208,-0.018742994549027208,Supply
Philadelphia - PA,-0.0032851079489448765,-0.0019203064838908546,-0.0019377820200001672,0.0023810654842786327,-0.0023810654842786327,Supply
Phoenix - AZ,-0.008454269596864794,-0.014427407547752846,-0.01864562597813424,0.013842434374250626,-0.013842434374250626,Supply
Pittsburgh - PA,0.0032540257173299114,-0.002259628903709343,-0.004938639225939623,0.003484097948992959,-0.0013147474707730182,Supply
Port St. Lucie - FL,-0.008719723957739012,0.005029954788084767,0.0005847302684205413,0.00477813633808144,-0.0010350129670779011,Supply
Portland - ME,-0.003385004028353622,-0.0034377800469309605,-0.003490556065508077,0.0034377800469308863,-0.0034377800469308863,Supply
Portland - OR,-0.005395275661211674,-0.00565105220283546,-0.007197027634840314,0.00608111849962915,-0.00608111849962915,Supply
