Market,err_2025 Q3,err_2025 Q4,err_2026 Q1,MAE,MeanError,Variable
Montgomery - AL,0.0084375264860157,0.01924761997592772,0.0326346154377557,0.020106587299899708,0.020106587299899708,SalePrice
Myrtle Beach - SC,0.021554847946775424,0.04863587469908992,0.07068538795151103,0.04695870353245879,0.04695870353245879,SalePrice
Naples - FL,0.019171706050877924,0.035547918501871334,0.05197401574931193,0.03556454676735373,0.03556454676735373,SalePrice
Nashville - TN,0.009187042061479467,0.024577083298373825,0.04458511727389447,0.026116414211249255,0.026116414211249255,SalePrice
New Haven - CT,0.005738021672969884,0.012900587800600105,0.026507783271032093,0.015048797581534027,0.015048797581534027,SalePrice
New Orleans - LA,0.018066042038478614,0.03763323222236559,0.05885177040254164,0.038183681554461946,0.038183681554461946,SalePrice
New York - NY,0.010929826668351739,0.02317701328590327,0.03210487234316384,0.02207057076580628,0.02207057076580628,SalePrice
Norfolk - VA,0.007099001908192015,0.015477819756217759,0.02359901562130773,0.015391945761905834,0.015391945761905834,SalePrice
Northern New Jersey - NJ,-0.013490691070631167,-0.008646600355486367,-0.005232171215464154,0.009123154213860563,-0.009123154213860563,SalePrice
Northwest Arkansas - AR,-0.023753391244539568,-0.028558184803457065,-0.01879784433296594,0.023703140126987526,-0.023703140126987526,SalePrice
Ocala - FL,0.017020092637433537,0.03542906441903371,0.05079487452569831,0.034414677194055186,0.034414677194055186,SalePrice
Ogden - UT,0.012961470555181043,0.029602526222751724,0.04733163930683637,0.029965212028256378,0.029965212028256378,SalePrice
Oklahoma City - OK,0.007375466467349545,0.02216268524174314,0.04143431245207052,0.02365748805372107,0.02365748805372107,SalePrice
Omaha - NE,0.008663902441357285,0.0028808340043728897,-0.003194208025465217,0.004912981490398464,0.0027835094734216526,SalePrice
Orange County - CA,0.012260268075250602,0.029558416229472195,0.04752572497711505,0.029781469760612616,0.029781469760612616,SalePrice
Orlando - FL,0.01399256988523867,0.03508163863429781,0.04897596760731804,0.03268339204228484,0.03268339204228484,SalePrice
Palm Beach - FL,0.008883809275969545,0.017071300100326203,0.023178042323686032,0.01637771723332726,0.01637771723332726,SalePrice
Pensacola - FL,-0.0011855934345461616,0.013778420163380378,0.026415390560661667,0.013793134719529402,0.013002739096498628,SalePrice
Philadelphia - PA,0.010818534960428838,0.026771188415507075,0.039475010854538306,0.025688244743491406,0.025688244743491406,SalePrice
Phoenix - AZ,0.003259278365366325,0.00938655761665197,0.01841265060292363,0.010352828861647309,0.010352828861647309,SalePrice
Pittsburgh - PA,0.014205628805065817,0.022118082959149854,0.03141485764967156,0.02257952313796241,0.02257952313796241,SalePrice
Port St. Lucie - FL,0.008893743734505577,0.015862553694885317,0.024934157297133774,0.016563484908841557,0.016563484908841557,SalePrice
Portland - ME,0.008726030541837959,0.020460369882900453,0.02719627769915478,0.01879422604129773,0.01879422604129773,SalePrice
Portland - OR,0.015484755022247332,0.034948463922117035,0.053055138236466015,0.034496119060276796,0.034496119060276796,SalePrice
Poughkeepsie - NY,0.012293507314443897,0.027158395959171022,0.04243959204799186,0.02729716510720226,0.02729716510720226,SalePrice
Providence - RI,0.02373874068234627,0.04349963626397935,0.05038713733835898,0.039208504761561534,0.039208504761561534,SalePrice
