Market,FinalRank_orig,FinalRank_may,RankChange,WeightedAverage_orig,WeightedAverage_may,WeightedAvgChange,Shocked,AskingRent_avgRankChange,EffectiveRent_avgRankChange,Employment_avgRankChange,Supply_avgRankChange,UPP_avgRankChange,Income_avgRankChange,Population_avgRankChange,SalePrice_avgRankChange,AskingRent_contribution,EffectiveRent_contribution,Employment_contribution,Supply_contribution,UPP_contribution,Income_contribution,Population_contribution,SalePrice_contribution,AskingRent_share_pct,EffectiveRent_share_pct,Employment_share_pct,Supply_share_pct,UPP_share_pct,Income_share_pct,Population_share_pct,SalePrice_share_pct
Kansas City - MO,132,62,-70,108.3,71.30000000000001,-36.999999999999986,True,-102.5,-107.25,0.0,-11.6,-8.5,25.5,-1.0,-39.5,-0.0,-21.450000000000003,0.0,-0.0,-1.7000000000000002,0.0,-0.1,-7.9,0.0,68.86035313001607,-0.0,0.0,5.457463884430177,-0.0,0.32102728731942215,25.36115569823435
San Diego - CA,15,81,66,42.10000000000001,76.10000000000001,34.0,True,56.75,54.75,5.166666666666667,12.6,16.0,-36.5,3.6666666666666665,34.125,0.0,10.950000000000001,0.5166666666666667,0.0,3.2,-0.0,0.3666666666666667,6.825,0.0,50.09531071292413,2.3637056805184904,0.0,14.639725505146778,-0.0,1.677468547464735,31.223789553945863
Cincinnati - OH,102,36,-66,86.10000000000002,59.80000000000001,-26.30000000000001,True,-28.5,-29.5,4.0,-17.2,-12.5,3.25,-3.5,-12.375,-0.0,-5.9,0.4,-0.0,-2.5,0.0,-0.35000000000000003,-2.475,0.0,54.503464203233264,-3.695150115473442,0.0,23.09468822170901,-0.0,3.233256351039261,22.86374133949192
Winston-Salem - NC,27,89,62,53.2,79.4,26.200000000000003,True,45.0,34.75,5.333333333333333,11.0,-4.0,9.5,-12.166666666666666,33.625,0.0,6.95,0.5333333333333333,0.0,-0.8,0.0,-1.2166666666666668,6.7250000000000005,0.0,57.00615174299385,4.3745727956254274,0.0,-6.561859193438141,0.0,-9.979494190020507,55.16062884483938
Tallahassee - FL,30,91,61,54.5,80.4,25.900000000000006,True,29.75,18.0,-9.5,53.4,28.5,-20.75,3.6666666666666665,19.5,0.0,3.6,-0.9500000000000001,0.0,5.7,-0.0,0.3666666666666667,3.9000000000000004,0.0,28.533685601056796,-7.5297225891677675,0.0,45.178335535006596,-0.0,2.9062087186261554,30.911492734478202
Memphis - TN,95,35,-60,83.4,59.8,-23.60000000000001,True,-87.75,-93.5,7.0,-5.0,-1.5,-23.5,-6.833333333333333,-3.125,-0.0,-18.7,0.7000000000000001,-0.0,-0.30000000000000004,-0.0,-0.6833333333333333,-0.625,0.0,95.36761580960476,-3.5699107522311944,0.0,1.5299617509562262,0.0,3.48491287717807,3.1874203144921376
Tucson - AZ,70,129,59,72.20000000000002,99.2,26.999999999999986,True,45.0,41.0,3.5,21.2,9.5,4.75,2.8333333333333335,46.125,0.0,8.200000000000001,0.35000000000000003,0.0,1.9000000000000001,0.0,0.2833333333333334,9.225,0.0,41.085594989561585,1.753653444676409,0.0,9.519832985386222,0.0,1.419624217118998,46.221294363256774
Sarasota - FL,31,90,59,57.5,79.50000000000001,22.000000000000014,True,26.25,23.0,6.5,5.0,2.5,29.5,-0.16666666666666666,45.625,0.0,4.6000000000000005,0.65,0.0,0.5,0.0,-0.016666666666666666,9.125,0.0,30.959057767807067,4.374649467190129,0.0,3.365114974761638,0.0,-0.11217049915872125,61.413348289399885
Brownsville-Harlingen - TX,58,115,57,66.6,92.3,25.700000000000003,True,84.25,60.25,0.5,37.4,12.5,8.5,-8.5,3.375,0.0,12.05,0.05,0.0,2.5,0.0,-0.8500000000000001,0.675,0.0,83.53552859618718,0.34662045060658575,0.0,17.33102253032929,0.0,-5.892547660311958,4.679376083188909
Springfield - MO,109,54,-55,89.00000000000001,68.9,-20.10000000000001,True,-38.25,-30.5,-4.666666666666667,6.6,-8.5,-10.75,-2.3333333333333335,-27.5,-0.0,-6.1000000000000005,-0.46666666666666673,0.0,-1.7000000000000002,-0.0,-0.23333333333333336,-5.5,0.0,43.57142857142858,3.333333333333334,-0.0,12.142857142857144,0.0,1.666666666666667,39.285714285714285
