Market,err_2025 Q3,err_2025 Q4,err_2026 Q1,MAE,MeanError,Variable
Santa Rosa - CA,0.0015298433537034306,0.0026921953972898205,0.0038804701232590944,0.0027008362914174486,0.0027008362914174486,Employment
Sarasota - FL,0.0017092674947429831,0.0031303017754993334,0.004601468220361893,0.00314701249686807,0.00314701249686807,Employment
Savannah - GA,0.001355662379120437,0.0026558945446775173,0.003634163176186478,0.0025485733666614774,0.0025485733666614774,Employment
Scranton - PA,0.0006364223186789975,0.0019692150130230512,0.0025675415562342874,0.0017243929626454453,0.0017243929626454453,Employment
Seattle - WA,0.004727099342479946,0.006331622150362093,0.007691103055115667,0.006249941515985902,0.006249941515985902,Employment
Shreveport - LA,0.0011806411795262095,0.0025602679578295984,0.0031290330506335007,0.0022899807293297694,0.0022899807293297694,Employment
Spokane - WA,0.0012074772455872296,0.002756224815044561,0.004030541161942125,0.002664747740857972,0.002664747740857972,Employment
Springfield - MA,0.0005709289847555254,0.0010253554800101483,0.0013521186089788806,0.0009828010245815182,0.0009828010245815182,Employment
Springfield - MO,-0.003217724164880531,-0.0020058987466300415,-0.0011198331468029732,0.0021144853527711818,-0.0021144853527711818,Employment
Stamford - CT,0.0012357006088021816,0.0021542603443345243,0.0029634197540187035,0.0021177935690518033,0.0021177935690518033,Employment
Stockton - CA,0.0011625321528125898,0.0028952104260533407,0.0042469756196992225,0.002768239399521718,0.002768239399521718,Employment
Syracuse - NY,-0.00024909320379706834,0.0013915280836406252,0.0021837395240308366,0.0012747869371561766,0.0011087248012914646,Employment
Tallahassee - FL,0.0016743211240870526,0.0031465400867360938,0.004046961911444269,0.002955941040755805,0.002955941040755805,Employment
Tampa - FL,0.0024479269530466308,0.0048533072757035445,0.006225641819325167,0.004508958682691781,0.004508958682691781,Employment
Toledo - OH,0.0014266039468280312,0.0028660503417535788,0.003878036642886884,0.0027235636438228314,0.0027235636438228314,Employment
Trenton - NJ,0.0009808875674770512,0.0019942542576192324,0.002767824781991335,0.0019143222023625395,0.0019143222023625395,Employment
Tucson - AZ,0.0035375426697423773,0.006438494379637061,0.008038916490317405,0.006004984513232281,0.006004984513232281,Employment
Tulsa - OK,0.0014656492308129376,0.0030362709122069287,0.004034155250544069,0.0028453584645213117,0.0028453584645213117,Employment
Vallejo-Fairfield - CA,0.0010443946837404017,0.0029292658751891576,0.004515426167093439,0.0028296955753409994,0.0028296955753409994,Employment
Ventura - CA,-0.0009612724745711176,-0.00021522245404437257,0.000650642717717087,0.0006090458821108591,-0.00017528407029946771,Employment
Visalia - CA,0.0011729545343386327,0.002134595835258102,0.0030854024340298825,0.002130984267875539,0.002130984267875539,Employment
Washington - DC,0.005099336363843299,0.014620784437244683,0.01700072517749429,0.012240281992860758,0.012240281992860758,Employment
Wichita - KS,0.003072068772848713,0.004393542836090725,0.004838462427833035,0.00410135801225749,0.00410135801225749,Employment
Winston-Salem - NC,0.0014641506409827088,0.002941646711171586,0.004173797824993164,0.002859865059049153,0.002859865059049153,Employment
Worcester - MA,0.0007905665806955398,0.0014034537575955408,0.0021455171910853554,0.0014465125097921454,0.0014465125097921454,Employment
York - PA,0.0006585249597528264,0.0019226133378167365,0.002321404541023142,0.0016341809461975683,0.0016341809461975683,Employment
Youngstown - OH,0.00035738921844186144,0.0010859586315886682,0.001693256394180942,0.0010455347480704906,0.0010455347480704906,Employment
