Market,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1,2025 Q2,2025 Q3,2025 Q4,2026 Q1,2026 Q2 EST,2026 Q2 QTD,2026 Q3,2026 Q4,2027 Q1,2027 Q2,2027 Q3,2027 Q4,2028 Q1,2028 Q2,2028 Q3,2028 Q4,2029 Q1,2029 Q2,2029 Q3,2029 Q4,2030 Q1,2030 Q2,2030 Q3,2030 Q4,2031 Q1
Seattle - WA,1721.0,2082.0,4262.0,2682.0,2574.0,2567.0,3376.0,3719.0,3871.0,4326.0,1809.0,3886.0,2971.0,1937.0,1465.0,3166.0,2335.0,2863.0,2351.0,2606.0,2886.0,3626.0,1916.0,4236.0,3395.0,4016.0,5453.0,1858.0,2057.0,2429.0,1782.0,866.0,2285.0,837.0,1007.0,1103.0,1587.0,1110.0,3616.0,783.0,1462.0,,478.0,,,,,,,,,,,,,,,,,,,
Shreveport - LA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.0,0.0,0.0,0.0,0.0,156.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,46.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,
Spokane - WA,25.0,567.0,337.0,23.0,1165.0,172.0,186.0,40.0,449.0,364.0,46.0,6.0,84.0,318.0,530.0,554.0,258.0,150.0,32.0,313.0,522.0,391.0,81.0,144.0,678.0,359.0,356.0,346.0,455.0,908.0,120.0,269.0,92.0,170.0,780.0,240.0,0.0,0.0,80.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,
Springfield - MA,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,6.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,
Springfield - MO,197.0,106.0,81.0,0.0,15.0,100.0,160.0,66.0,0.0,30.0,152.0,24.0,262.0,0.0,39.0,72.0,484.0,112.0,0.0,372.0,0.0,120.0,99.0,111.0,139.0,448.0,0.0,150.0,504.0,70.0,0.0,145.0,35.0,314.0,84.0,213.0,30.0,193.0,240.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,
Stamford - CT,529.0,537.0,902.0,431.0,20.0,71.0,1114.0,101.0,641.0,16.0,362.0,309.0,540.0,387.0,343.0,997.0,567.0,110.0,0.0,68.0,685.0,512.0,255.0,9.0,719.0,191.0,260.0,788.0,849.0,531.0,213.0,406.0,606.0,782.0,368.0,422.0,163.0,0.0,417.0,669.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,
Stockton - CA,0.0,0.0,0.0,233.0,386.0,0.0,0.0,156.0,0.0,167.0,514.0,0.0,216.0,236.0,0.0,0.0,302.0,10.0,0.0,0.0,172.0,0.0,304.0,0.0,29.0,564.0,0.0,108.0,440.0,0.0,0.0,0.0,367.0,6.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,
Syracuse - NY,628.0,71.0,0.0,93.0,6.0,246.0,0.0,0.0,0.0,0.0,60.0,0.0,99.0,0.0,108.0,155.0,0.0,124.0,110.0,22.0,19.0,53.0,192.0,14.0,115.0,248.0,98.0,0.0,319.0,0.0,165.0,19.0,0.0,0.0,0.0,287.0,0.0,152.0,415.0,36.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,
Tallahassee - FL,10.0,340.0,0.0,6.0,514.0,506.0,90.0,0.0,0.0,244.0,0.0,161.0,5.0,40.0,0.0,0.0,324.0,272.0,0.0,0.0,0.0,46.0,0.0,31.0,353.0,310.0,297.0,254.0,182.0,0.0,0.0,313.0,0.0,0.0,0.0,265.0,228.0,244.0,0.0,206.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,
Tampa - FL,1474.0,1247.0,576.0,2467.0,1669.0,1702.0,1787.0,1728.0,2004.0,1525.0,624.0,425.0,1524.0,1872.0,2184.0,1759.0,2357.0,476.0,1846.0,1025.0,4187.0,2071.0,1925.0,1766.0,2064.0,3297.0,3310.0,2095.0,2455.0,2294.0,1044.0,2883.0,2384.0,1688.0,2610.0,1160.0,4140.0,2203.0,2243.0,1469.0,1287.0,,400.0,,,,,,,,,,,,,,,,,,,
