Market,2026 Q2 EST,2026 Q3,2026 Q4,2027 Q1,2027 Q2,2027 Q3,2027 Q4,2028 Q1,2028 Q2,2028 Q3,2028 Q4,2029 Q1,2029 Q2,2029 Q3,2029 Q4,2030 Q1,2030 Q2,2030 Q3,2030 Q4,2031 Q1,2031 Q2,2031 Q3,2031 Q4,2032 Q1,2032 Q2,2032 Q3,2032 Q4,2033 Q1,2033 Q2,2033 Q3,2033 Q4,2034 Q1,2034 Q2,2034 Q3,2034 Q4,2035 Q1,2035 Q2,2035 Q3,2035 Q4
Huntsville - AL,293455.0,293815.78125,294243.90625,294742.1875,295270.125,295795.5,296277.5,296759.3125,297241.40625,297760.40625,298287.1875,298797.21875,299377.0,299954.71875,300550.1875,301164.625,301788.59375,302421.375,303047.0,303683.59375,299488.09375,300125.40625,300763.0,301392.59375,302021.21875,302647.71875,303275.21875,303902.5,304529.21875,305155.09375,305778.0,306405.09375,307029.375,307649.5,308265.1875,308524.40625,309120.5,310121.3125,310734.0
Indianapolis - IN,1193750.0,1195126.0,1196708.0,1198169.0,1199698.0,1201197.0,1202642.0,1204217.0,1205749.0,1207228.0,1208617.0,1210132.0,1211865.0,1213516.0,1215196.0,1216916.0,1218641.0,1220337.0,1222012.0,1223694.0,1200217.0,1201867.0,1203512.0,1205163.0,1206804.0,1208429.0,1210064.0,1211671.0,1213285.0,1214899.0,1216517.0,1218137.0,1219758.0,1221369.0,1222976.0,1279683.0,1281392.0,1227775.0,1229369.0
Inland Empire - CA,1724841.0,1728325.0,1732073.0,1735972.0,1740038.0,1743972.0,1747847.0,1751440.0,1754845.0,1758132.0,1761293.0,1764610.0,1768208.0,1771887.0,1775677.0,1779527.0,1783408.0,1787320.0,1791199.0,1795203.0,1771500.0,1775507.0,1779515.0,1783535.0,1787530.0,1791536.0,1795518.0,1799541.0,1803550.0,1807550.0,1811565.0,1815588.0,1819635.0,1823647.0,1827665.0,1909541.0,1913980.0,1839741.0,1843748.0
Jackson - MS,308177.625,308275.59375,308436.8125,308612.09375,308794.59375,308975.71875,309173.0,309391.90625,309597.40625,309771.5,309937.5,310125.3125,310370.40625,310618.28125,310870.78125,311125.0,311404.59375,311680.125,311943.125,312194.5,310504.21875,310749.125,310997.59375,311239.0,311481.6875,311723.375,311964.59375,312207.40625,312446.40625,312687.28125,312921.8125,313161.1875,313395.8125,313630.3125,313856.8125,297860.90625,298108.1875,314535.40625,314752.59375
Jacksonville - FL,820851.625,822017.5,823284.4375,824541.625,825906.3125,827336.5,828810.4375,830321.25,831803.5,833294.5,834732.75,836188.1875,837750.4375,839306.6875,840895.375,842506.4375,844119.625,845747.1875,847340.0625,848948.75,839098.0,840690.1875,842284.9375,843879.5625,845467.75,847051.8125,848627.0625,850190.625,851762.0625,853334.5,854907.25,856480.6875,858059.375,859635.6875,861205.0625,883650.6875,885256.4375,865917.5,867486.0
Kansas City - MO,1153066.0,1153551.0,1154340.0,1155185.0,1156052.0,1156908.0,1157692.0,1158518.0,1159328.0,1160155.0,1160975.0,1162043.0,1163210.0,1164435.0,1165723.0,1167017.0,1168303.0,1169546.0,1170764.0,1171968.0,1159941.0,1161099.0,1162237.0,1163371.0,1164487.0,1165596.0,1166700.0,1167807.0,1168913.0,1170011.0,1171109.0,1172211.0,1173315.0,1174403.0,1175489.0,1212867.0,1214016.0,1178755.0,1179832.0
Killeen - TX,156759.40625,156931.0,157111.203125,157298.296875,157504.890625,157715.1875,157905.90625,158080.796875,158257.703125,158450.296875,158659.703125,158891.5,159143.40625,159402.6875,159671.40625,159938.90625,160210.609375,160480.890625,160747.1875,161005.5,158288.40625,158548.59375,158808.703125,159068.796875,159325.1875,159578.5,159827.703125,160073.5,160317.59375,160560.703125,160800.0,161040.09375,161279.40625,161518.40625,161753.59375,167771.0,168010.0,162461.390625,162694.3125
Knoxville - TN,458094.5,458612.0,459193.375,459772.09375,460393.40625,461026.21875,461645.5,462243.28125,462803.09375,463352.5,463891.5,464466.1875,465098.6875,465731.8125,466388.21875,467058.09375,467709.59375,468357.21875,468981.5,469590.21875,465624.21875,466208.59375,466784.21875,467367.625,467941.90625,468525.21875,469097.5,469669.90625,470239.90625,470808.28125,471375.0,471940.78125,472510.5,473078.09375,473642.21875,471230.5,471785.875,475342.5,475907.28125
Lafayette - LA,187069.59375,187037.703125,187015.796875,186992.203125,186994.59375,186958.296875,186921.703125,186856.796875,186786.5,186710.6875,186687.296875,186688.0,186717.796875,186750.5,186790.0,186830.59375,186879.296875,186927.0,186969.296875,187008.609375,185587.09375,185624.6875,185664.703125,185707.390625,185746.40625,185785.703125,185823.703125,185864.109375,185900.5,185936.703125,185970.5,186007.203125,186042.09375,186075.1875,186105.0,208729.90625,208765.296875,186193.296875,186218.3125
Lakeland - FL,280907.8125,281467.90625,282028.09375,282606.125,283199.5,283796.6875,284374.6875,284941.09375,285480.90625,286003.8125,286516.59375,287055.0,287621.40625,288212.71875,288822.375,289440.3125,290084.40625,290731.0,291367.625,292001.59375,288088.71875,288690.78125,289289.78125,289888.5,290484.5,291073.5,291657.71875,292240.90625,292825.8125,293409.78125,293992.09375,294573.21875,295155.6875,295736.375,296315.3125,306955.0,307530.6875,298049.8125,298626.3125
Lancaster - PA,270360.59375,270535.1875,270743.90625,270936.40625,271181.6875,271427.09375,271644.90625,271840.6875,272050.0,272263.40625,272483.0,272712.875,272981.90625,273258.3125,273546.375,273847.6875,274172.3125,274492.625,274802.5,275108.40625,272568.90625,272893.09375,273223.0,273550.6875,273879.09375,274198.6875,274516.90625,274834.8125,275150.0,275464.59375,275776.6875,276090.59375,276400.6875,276709.90625,277014.90625,281089.1875,281426.59375,277931.40625,278230.0
Lansing - MI,248624.5,248820.6875,249023.109375,249201.59375,249392.8125,249580.703125,249749.09375,249911.296875,250061.09375,250206.09375,250382.40625,250590.703125,250823.703125,251060.109375,251302.3125,251543.703125,251785.0,252022.296875,252253.90625,252459.90625,247838.8125,248023.0,248201.203125,248376.40625,248544.203125,248707.390625,248862.0,249013.796875,249161.0,249304.390625,249442.09375,249574.796875,249704.609375,249829.1875,249949.09375,253480.0,253601.203125,250287.59375,250392.5
