Market,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1,2025 Q2,2025 Q3,2025 Q4,2026 Q1
Daytona Beach - FL,624057.8125,627652.75,631169.0,634081.8125,636952.25,639806.5,642646.0,645063.1875,647452.0625,649829.875,652221.0,654510.375,656796.375,659063.75,661350.0,663866.6875,666398.8125,668919.5,671761.875,675706.4375,679480.75,683415.25,687626.5,692704.6875,697879.375,703102.5,708551.1875,712607.1875,716757.875,721036.6875,725285.1875,727915.0,730645.1875,733468.3125,736150.0625,738285.875,740344.125,741663.5625,742872.0625,744240.75,745639.75
Denver - CO,2823393.0,2834127.0,2844505.0,2852936.0,2861175.0,2869342.0,2877443.0,2887072.0,2896574.0,2906026.0,2915538.0,2922716.0,2929879.0,2936958.0,2944122.0,2950655.0,2957257.0,2963807.0,2970112.0,2972135.0,2973414.0,2975397.0,2978580.0,2981515.0,2984870.0,2988430.0,2992942.0,3000751.0,3008962.0,3017710.0,3026330.0,3036481.0,3047052.0,3058013.0,3068386.0,3074108.0,3079350.0,3081375.0,3082743.0,3084505.0,3086563.0
Des Moines - IA,667371.5,670421.875,673388.0,676133.1875,678833.3125,681515.9375,684183.0,686619.0625,689025.3125,691419.625,693828.0,696199.25,698566.5625,700914.125,703282.0,705356.0625,707446.6875,709525.0,711225.5625,713635.6875,715866.375,718266.3125,720956.5,722869.3125,724883.0,726946.4375,729241.1875,731622.625,734100.8125,736709.4375,739285.875,742216.375,745246.875,748369.875,751346.6875,753785.375,756197.1875,757873.25,759468.875,761358.8125,763221.375
Detroit - MI,4360226.0,4364401.0,4368028.0,4371736.0,4375151.0,4378454.0,4381658.0,4384199.0,4386548.0,4388821.0,4391185.0,4392160.0,4393111.0,4393938.0,4394892.0,4394018.0,4393246.0,4392398.0,4385267.0,4381426.0,4376489.0,4372592.0,4370455.0,4365750.0,4361664.0,4357883.0,4355487.0,4355933.0,4356962.0,4358770.0,4360389.0,4365526.0,4371264.0,4377557.0,4383004.0,4390155.0,4396281.0,4397463.0,4397413.0,4396571.0,4395264.0
Durham - NC,553913.8125,556412.75,558842.0,560537.0,562194.5625,563837.6875,565468.0,568309.375,571125.9375,573932.625,576751.0,578460.875,580167.75,581857.8125,583565.0,585338.9375,587126.5,588904.0,582117.375,584816.375,587368.25,590058.5,592987.4375,594986.0625,597068.1875,599191.3125,601505.6875,603715.25,606005.375,608403.8125,610776.3125,613224.5,615757.375,618368.75,620861.0625,623353.5625,625790.25,627611.5625,629351.0,631063.1875,632720.0
East Bay - CA,2789873.0,2798257.0,2806290.0,2811569.0,2816660.0,2821679.0,2826634.0,2830464.0,2834170.0,2837827.0,2841543.0,2843269.0,2844980.0,2846609.0,2848322.0,2848281.0,2848305.0,2848281.0,2847200.0,2837414.0,2826921.0,2817100.0,2808412.0,2804383.0,2800752.0,2797316.0,2794770.0,2795354.0,2796312.0,2797769.0,2799105.0,2803223.0,2807729.0,2812590.0,2816909.0,2822069.0,2826711.0,2828311.0,2829086.0,2829246.0,2828886.0
El Paso - TX,849771.4375,851290.25,852702.0,853916.0625,855073.1875,856208.3125,857324.0,857845.5625,858329.6875,858799.0,859286.0,860369.1875,861447.8125,862501.875,863581.0,865350.0,867139.0,868913.1875,869827.0625,870104.8125,870164.3125,870430.0,871046.375,871212.0,871500.4375,871848.875,872474.8125,873716.8125,875076.4375,876592.6875,878072.0,878495.75,879038.6875,879691.125,880171.8125,882444.0,884578.125,885784.75,886860.125,887955.0625,889008.9375
Fayetteville - NC,382422.6875,382922.90625,383375.0,383039.09375,382677.40625,382306.0,381926.0,382614.40625,383286.0,383951.125,384624.0,385124.21875,385622.40625,386109.59375,386608.0,386670.90625,386742.8125,386808.0,389465.0,390302.5,391041.90625,391873.90625,392864.0,392721.71875,392635.1875,392576.375,392642.6875,392576.5,392563.28125,392620.40625,392660.71875,392956.90625,393306.625,393705.28125,394027.1875,395196.8125,396304.0,396996.1875,397614.90625,398202.5,398733.0
Flint - MI,410344.40625,410027.5,409659.0,409365.90625,409045.28125,408714.28125,408374.0,408151.3125,407910.71875,407663.21875,407424.0,407221.71875,407017.3125,406801.21875,406597.0,406467.71875,406347.8125,406221.0,405776.5,405508.09375,405138.21875,404864.40625,404753.8125,403914.0,403131.90625,402378.0,401752.1875,401458.1875,401218.28125,401050.28125,400865.125,400768.71875,400728.09375,400738.71875,400672.5,400423.40625,400148.8125,399486.3125,398798.5,398115.6875,397430.0
Fort Lauderdale - FL,1891145.0,1898047.0,1904711.0,1910021.0,1915204.0,1920337.0,1925427.0,1928162.0,1930813.0,1933431.0,1936089.0,1937602.0,1939105.0,1940553.0,1942057.0,1942821.0,1943630.0,1944405.0,1943433.0,1941534.0,1939149.0,1937223.0,1936076.0,1943955.0,1952102.0,1960382.0,1969284.0,1977837.0,1986655.0,1995828.0,2004918.0,2010492.0,2016349.0,2022466.0,2028199.0,2032029.0,2035401.0,2036414.0,2036445.0,2036569.0,2036767.0
